"","Question_01","Question_02","Question_03","Question_04","Question_05","Question_06","Question_07","Question_08","Question_09","Question_10","Question_11","Question_12","Question_13","Question_14","Question_15","Question_16","Question_17","Question_18","Question_19","Question_20","Question_21","Question_22","Question_23"
"1968","Agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neither","Agree","Agree","Neither","Neither","Strongly agree","Agree","Neither","Neither","Agree","Neither","Neither"
"1969","Agree","Strongly agree","Neither","Agree","Agree","Disagree","Neither","Strongly agree","Strongly agree","Agree","Neither","Agree","Disagree","Disagree","Agree","Disagree","Strongly agree","Neither","Strongly agree","Neither","Neither","Agree","Strongly agree"
"1970","Agree","Agree","Neither","Neither","Disagree","Agree","Disagree","Neither","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree"
"1971","Agree","Agree","Disagree","Agree","Neither","Disagree","Disagree","Agree","Disagree","Agree","Agree","Neither","Agree","Agree","Agree","Neither","Neither","Neither","Agree","Neither","Neither","Neither","Neither"
"1972","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Neither","Agree","Neither","Agree","Strongly agree","Agree","Agree","Agree","Neither","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Neither","Disagree","Neither"
"1973","Agree","Strongly agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree"
"1974","Agree","Neither","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree"
"1975","Agree","Agree","Strongly disagree","Agree","Neither","Neither","Agree","Agree","Disagree","Neither","Agree","Disagree","Neither","Disagree","Neither","Neither","Neither","Disagree","Agree","Neither","Agree","Agree","Neither"
"1976","Agree","Agree","Agree","Neither","Neither","Neither","Disagree","Neither","Agree","Agree","Agree","Neither","Agree","Neither","Agree","Neither","Neither","Agree","Agree","Disagree","Disagree","Agree","Disagree"
"1977","Agree","Strongly agree","Neither","Neither","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neither","Agree","Agree","Neither","Neither","Agree","Agree","Neither","Neither","Agree","Disagree","Disagree"
"1978","Disagree","Strongly agree","Agree","Disagree","Disagree","Neither","Strongly disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Neither","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly disagree"
"1979","Neither","Strongly agree","Strongly agree","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly agree","Agree","Neither","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Agree","Neither","Agree","Disagree","Strongly disagree","Strongly agree","Disagree"
"1980","Agree","Agree","Agree","Disagree","Neither","Strongly agree","Neither","Agree","Strongly agree","Agree","Strongly agree","Neither","Disagree","Strongly disagree","Neither","Neither","Agree","Agree","Agree","Neither","Neither","Agree","Neither"
"1981","Neither","Agree","Strongly agree","Neither","Strongly agree","Agree","Strongly disagree","Agree","Strongly agree","Agree","Agree","Strongly disagree","Neither","Neither","Agree","Neither","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Neither"
"1982","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Neither","Agree"
"1983","Agree","Strongly agree","Strongly agree","Strongly disagree","Neither","Agree","Disagree","Neither","Agree","Neither","Neither","Disagree","Agree","Neither","Agree","Agree","Agree","Disagree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree"
"1984","Agree","Neither","Disagree","Neither","Agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Neither","Agree","Agree","Neither","Neither","Neither","Neither","Neither","Strongly disagree","Disagree","Strongly agree","Neither","Disagree","Disagree"
"1985","Agree","Strongly agree","Neither","Neither","Agree","Agree","Disagree","Agree","Neither","Agree","Agree","Disagree","Neither","Disagree","Agree","Disagree","Neither","Neither","Neither","Neither","Neither","Agree","Disagree"
"1986","Agree","Agree","Neither","Agree","Neither","Agree","Agree","Disagree","Disagree","Neither","Neither","Neither","Neither","Agree","Disagree","Neither","Neither","Agree","Disagree","Neither","Neither","Disagree","Disagree"
"1987","Agree","Strongly agree","Disagree","Neither","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Neither","Agree","Agree","Agree","Neither","Agree","Strongly agree","Neither","Neither","Disagree","Neither","Disagree"
"1988","Disagree","Strongly agree","Strongly agree","Disagree","Neither","Neither","Strongly disagree","Neither","Strongly agree","Neither","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Disagree"
"1989","Disagree","Strongly agree","Strongly agree","Disagree","Neither","Agree","Strongly disagree","Neither","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly disagree","Neither","Strongly disagree","Agree","Strongly disagree","Strongly agree","Disagree","Disagree","Neither","Strongly agree"
"1990","Agree","Neither","Neither","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Neither","Neither","Neither","Neither"
"1991","Neither","Agree","Agree","Strongly disagree","Neither","Neither","Disagree","Disagree","Neither","Neither","Neither","Disagree","Disagree","Disagree","Neither","Neither","Disagree","Neither","Neither","Neither","Disagree","Neither","Agree"
"1992","Neither","Agree","Agree","Neither","Neither","Agree","Disagree","Agree","Disagree","Agree","Agree","Neither","Agree","Disagree","Neither","Neither","Agree","Neither","Agree","Strongly disagree","Disagree","Neither","Disagree"
"1993","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree"
"1994","Agree","Strongly agree","Agree","Neither","Agree","Agree","Neither","Strongly agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Neither","Agree","Neither","Agree","Disagree","Neither","Strongly disagree","Disagree","Disagree","Strongly disagree"
"1995","Agree","Neither","Neither","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Neither","Disagree"
"1996","Agree","Strongly agree","Strongly agree","Neither","Disagree","Agree","Disagree","Agree","Agree","Disagree","Neither","Neither","Neither","Agree","Disagree","Neither","Neither","Neither","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree"
"1997","Agree","Strongly agree","Neither","Neither","Disagree","Agree","Agree","Agree","Agree","Neither","Strongly agree","Neither","Agree","Neither","Neither","Neither","Agree","Agree","Strongly agree","Disagree","Neither","Neither","Neither"
"1998","Neither","Strongly agree","Agree","Neither","Strongly Disagree","Strongly agree","Neither","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Disagree","Neither","Agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Agree"
"1999","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Neither","Agree","Disagree","Strongly agree","Agree","Neither","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Disagree"
"2000","Agree","Disagree","Neither","Disagree","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Neither","Neither","Disagree","Agree","Agree","Neither","Neither","Disagree","Disagree","Disagree","Disagree","Disagree"
"2001","Strongly agree","Strongly agree","Neither","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Neither","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree"
"2002","Agree","Strongly agree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Agree","Agree","Neither","Neither","Strongly disagree","Neither","Neither","Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly agree","Agree"
"2003","Neither","Agree","Strongly agree","Neither","Neither","Strongly disagree","Strongly disagree","Agree","Neither","Neither","Agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Neither","Neither","Strongly disagree","Neither","Neither","Strongly disagree","Agree","Neither"
"2004","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly disagree","Agree","Neither","Neither","Neither","Disagree","Neither","Agree","Agree","Neither","Agree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree"
"2005","Agree","Strongly agree","Neither","Neither","Neither","Agree","Agree","Agree","Disagree","Neither","Agree","Neither","Agree","Neither","Agree","Neither","Agree","Agree","Agree","Neither","Neither","Agree","Disagree"
"2006","Neither","Strongly agree","Strongly agree","Agree","Neither","Strongly agree","Neither","Agree","Neither","Agree","Agree","Neither","Agree","Neither","Neither","Neither","Agree","Neither","Agree","Strongly disagree","Strongly disagree","Neither","Agree"
"2007","Neither","Strongly agree","Neither","Neither","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Neither","Agree","Neither","Agree","Neither","Disagree","Disagree","Strongly disagree"
"2008","Neither","Strongly agree","Agree","Disagree","Neither","Disagree","Disagree","Agree","Agree","Agree","Neither","Strongly disagree","Neither","Neither","Disagree","Neither","Neither","Disagree","Strongly agree","Strongly disagree","Neither","Neither","Disagree"
"2009","Disagree","Strongly agree","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Disagree"
"2010","Agree","Agree","Neither","Neither","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Neither","Agree","Neither","Agree","Neither","Neither","Agree","Agree","Disagree","Agree","Agree","Agree"
"2011","Neither","Agree","Neither","Neither","Agree","Strongly agree","Disagree","Strongly agree","Strongly disagree","Disagree","Agree","Neither","Strongly agree","Disagree","Agree","Strongly agree","Neither","Neither","Neither","Agree","Agree","Strongly disagree","Strongly disagree"
"2012","Agree","Strongly agree","Strongly agree","Strongly disagree","Neither","Disagree","Disagree","Disagree","Agree","Neither","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Neither","Disagree","Neither","Strongly agree","Strongly disagree","Disagree","Neither","Neither"
"2013","Agree","Strongly agree","Agree","Neither","Neither","Agree","Neither","Neither","Agree","Agree","Neither","Disagree","Neither","Neither","Neither","Disagree","Neither","Agree","Agree","Disagree","Disagree","Disagree","Neither"
"2014","Disagree","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Disagree","Agree","Disagree","Neither","Neither","Disagree","Neither","Disagree","Neither","Agree","Strongly agree","Disagree","Disagree","Neither","Disagree"
"2015","Neither","Strongly agree","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly disagree","Neither","Disagree","Strongly disagree","Neither","Disagree","Strongly disagree","Neither","Neither","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly agree","Disagree"
"2016","Neither","Strongly agree","Agree","Disagree","Neither","Agree","Agree","Agree","Neither","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Disagree","Disagree","Agree","Disagree"
"2017","Strongly agree","Strongly agree","Agree","Strongly disagree","Agree","Disagree","Strongly disagree","Neither","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Neither","Agree","Agree","Neither","Strongly agree","Disagree","Neither","Neither","Strongly agree"
"2018","Neither","Agree","Agree","Disagree","Disagree","Neither","Neither","Agree","Neither","Neither","Agree","Neither","Strongly agree","Neither","Neither","Neither","Neither","Neither","Agree","Disagree","Neither","Agree","Neither"
"2019","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neither","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Neither","Disagree","Disagree","Agree","Disagree","Strongly disagree","Agree","Neither"
"2020","Strongly agree","Strongly agree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neither","Neither","Neither","Neither","Neither"
"2021","Neither","Agree","Strongly agree","Neither","Disagree","Strongly agree","Neither","Disagree","Neither","Agree","Agree","Neither","Agree","Disagree","Neither","Disagree","Neither","Agree","Strongly agree","Strongly disagree","Disagree","Disagree","Neither"
"2022","Strongly agree","Agree","Strongly agree","Neither","Disagree","Strongly agree","Neither","Agree","Disagree","Agree","Neither","Agree","Strongly agree","Disagree","Disagree","Disagree","Agree","Neither","Strongly agree","Strongly disagree","Disagree","Neither","Strongly agree"
"2023","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Neither","Strongly disagree"
"2024","Neither","Strongly agree","Strongly agree","Disagree","Neither","Neither","Disagree","Disagree","Neither","Disagree","Strongly disagree","Neither","Neither","Neither","Disagree","Neither","Agree","Neither","Agree","Agree","Strongly disagree","Strongly agree","Agree"
"2025","Neither","Agree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Disagree","Neither","Neither","Agree","Neither","Agree","Disagree","Disagree","Neither","Disagree","Agree","Disagree","Disagree","Disagree","Disagree"
"2026","Neither","Agree","Neither","Neither","Neither","Agree","Neither","Neither","Neither","Agree","Neither","Neither","Neither","Neither","Disagree","Neither","Neither","Agree","Neither","Agree","Neither","Neither","Neither"
"2027","Agree","Agree","Neither","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Neither","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree"
"2028","Neither","Strongly agree","Agree","Neither","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Neither","Neither","Neither","Neither","Neither","Disagree","Neither","Strongly agree","Strongly disagree","Disagree","Neither","Strongly agree"
"2029","Agree","Strongly agree","Strongly agree","Neither","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Neither","Agree","Disagree","Disagree","Neither","Agree","Neither","Strongly agree","Strongly disagree","Agree","Neither","Strongly agree"
"2030","Neither","Strongly agree","Agree","Neither","Agree","Disagree","Neither","Disagree","Neither","Disagree","Neither","Neither","Neither","Neither","Disagree","Disagree","Neither","Neither","Agree","Neither","Neither","Agree","Disagree"
"2031","Agree","Strongly agree","Agree","Neither","Agree","Agree","Disagree","Neither","Disagree","Agree","Neither","Disagree","Disagree","Disagree","Disagree","Neither","Agree","Agree","Strongly agree","Disagree","Neither","Disagree","Disagree"
"2032","Neither","Strongly agree","Neither","Agree","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Disagree","Neither","Neither","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Disagree"
"2033","Neither","Agree","Agree","Agree","Neither","Neither","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Neither","Agree","Neither","Agree","Disagree","Neither","Agree","Disagree","Disagree","Neither","Neither","Disagree"
"2034","Agree","Agree","Disagree","Agree","Neither","Disagree","Agree","Agree","Disagree","Neither","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Disagree","Disagree","Neither","Disagree"
"2035","Neither","Strongly agree","Strongly agree","Disagree","Disagree","Agree","Agree","Disagree","Strongly agree","Agree","Neither","Strongly disagree","Strongly agree","Neither","Strongly agree","Strongly agree","Neither","Strongly agree","Neither","Disagree","Disagree","Disagree","Neither"
"2036","Agree","Agree","Disagree","Neither","Disagree","Agree","Neither","Agree","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Neither","Neither","Disagree"
"2037","Agree","Strongly agree","Strongly agree","Disagree","Neither","Neither","Disagree","Neither","Neither","Neither","Neither","Neither","Disagree","Neither","Neither","Agree","Disagree","Neither","Agree","Disagree","Strongly disagree","Neither","Agree"
"2038","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly Disagree","Strongly disagree","Strongly disagree","Agree","Neither","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither","Disagree","Strongly disagree","Neither","Strongly disagree","Neither","Disagree","Strongly disagree","Neither","Neither"
"2039","Disagree","Agree","Agree","Disagree","Neither","Neither","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neither","Disagree","Disagree","Disagree","Agree","Strongly agree","Disagree","Disagree","Strongly disagree"
"2040","Strongly agree","Strongly agree","Strongly agree","Neither","Agree","Agree","Strongly disagree","Strongly agree","Neither","Agree","Strongly agree","Neither","Agree","Agree","Agree","Neither","Agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Neither","Neither"
"2041","Neither","Strongly agree","Strongly agree","Agree","Neither","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Neither","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Disagree","Strongly disagree","Neither","Agree"
"2042","Strongly agree","Strongly agree","Neither","Agree","Neither","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neither","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Neither","Disagree"
"2043","Agree","Disagree","Neither","Neither","Neither","Agree","Disagree","Neither","Disagree","Neither","Disagree","Neither","Agree","Neither","Disagree","Neither","Neither","Neither","Disagree","Agree","Agree","Neither","Neither"
"2044","Neither","Strongly agree","Agree","Neither","Disagree","Strongly disagree","Disagree","Agree","Disagree","Neither","Disagree","Neither","Agree","Disagree","Neither","Neither","Agree","Disagree","Strongly agree","Neither","Neither","Agree","Agree"
"2045","Agree","Strongly agree","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Neither","Neither","Neither","Agree","Neither","Neither","Agree","Disagree","Disagree","Disagree","Disagree","Neither"
"2046","Agree","Strongly agree","Neither","Neither","Agree","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly agree","Agree","Neither","Neither","Neither","Disagree","Agree","Neither","Disagree","Agree","Disagree","Disagree","Disagree","Strongly disagree"
"2047","Neither","Agree","Neither","Disagree","Disagree","Agree","Neither","Neither","Disagree","Agree","Neither","Neither","Neither","Neither","Neither","Agree","Agree","Agree","Neither","Neither","Neither","Neither","Neither"
"2048","Neither","Neither","Agree","Neither","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Neither","Disagree","Agree","Strongly agree","Neither","Disagree","Neither","Agree","Neither","Disagree","Disagree","Disagree"
"2049","Neither","Neither","Neither","Neither","Neither","Agree","Neither","Agree","Neither","Agree","Agree","Neither","Neither","Neither","Neither","Neither","Neither","Neither","Agree","Neither","Neither","Agree","Neither"
"2050","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Neither","Agree","Strongly disagree","Disagree"
"2051","Strongly agree","Strongly agree","Neither","Agree","Strongly Disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Neither","Strongly disagree","Strongly disagree","Strongly agree","Agree","Neither","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree"
"2052","Strongly agree","Neither","Neither","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Strongly agree","Neither","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Agree","Disagree","Disagree"
"2053","Agree","Neither","Neither","Neither","Agree","Agree","Agree","Agree","Disagree","Neither","Agree","Neither","Agree","Neither","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Neither","Disagree"
"2054","Neither","Strongly agree","Strongly agree","Neither","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Neither","Disagree","Neither","Agree","Disagree","Neither","Agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Neither"
"2055","Agree","Agree","Disagree","Neither","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Neither","Agree","Neither","Neither","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Neither","Disagree"
"2056","Strongly agree","Strongly agree","Neither","Agree","Strongly Disagree","Strongly agree","Neither","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Agree","Agree","Neither","Agree"
"2057","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neither","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Neither","Disagree","Neither","Agree","Strongly agree","Neither","Strongly agree","Disagree","Strongly disagree","Strongly agree","Agree"
"2058","Agree","Agree","Neither","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Neither","Agree","Neither","Strongly agree","Agree","Neither","Disagree","Neither","Neither","Neither"
"2059","Agree","Agree","Disagree","Agree","Neither","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neither","Agree","Agree","Strongly agree","Disagree","Neither","Agree","Neither","Disagree"
"2060","Neither","Strongly agree","Strongly agree","Neither","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Neither","Agree","Neither","Disagree","Disagree","Disagree","Neither","Neither","Strongly disagree","Neither","Neither","Disagree"
"2061","Agree","Agree","Neither","Agree","Neither","Strongly agree","Agree","Agree","Neither","Agree","Neither","Neither","Agree","Strongly agree","Agree","Agree","Neither","Strongly agree","Disagree","Disagree","Neither","Disagree","Disagree"
"2062","Agree","Agree","Neither","Strongly agree","Agree","Disagree","Neither","Strongly agree","Agree","Agree","Neither","Neither","Neither","Neither","Neither","Neither","Agree","Agree","Neither","Disagree","Neither","Neither","Neither"
"2063","Agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Neither","Disagree","Disagree","Disagree","Agree","Neither","Agree","Neither","Disagree","Neither","Strongly agree","Strongly disagree","Disagree","Neither","Agree"
"2064","Agree","Agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Agree","Neither","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Neither"
"2065","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","Strongly agree","Neither","Disagree","Disagree","Neither","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree"
"2066","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Agree","Neither","Neither","Agree","Disagree","Disagree"
"2067","Strongly agree","Agree","Neither","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither","Agree","Agree","Neither","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree","Neither","Neither","Disagree"
"2068","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Neither","Strongly agree","Neither","Agree","Neither","Agree","Agree","Agree","Neither","Agree","Disagree","Strongly disagree"
"2069","Agree","Strongly agree","Strongly agree","Neither","Strongly Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Neither","Strongly agree","Strongly disagree","Agree","Neither","Agree","Agree","Strongly agree","Disagree","Agree","Neither","Neither","Neither","Agree"
"2070","Agree","Agree","Neither","Agree","Agree","Agree","Disagree","Agree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neither","Agree","Agree","Neither","Neither","Neither","Disagree"
"2071","Agree","Strongly agree","Neither","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree"
"2072","Agree","Neither","Neither","Agree","Agree","Agree","Neither","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Neither","Agree","Agree","Strongly agree","Agree","Agree","Neither","Neither"
"2073","Neither","Strongly agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Disagree","Neither","Neither","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Neither","Agree","Neither"
"2074","Agree","Strongly agree","Neither","Neither","Agree","Strongly agree","Agree","Neither","Neither","Agree","Neither","Neither","Agree","Agree","Neither","Neither","Agree","Agree","Agree","Disagree","Neither","Neither","Neither"
"2075","Neither","Strongly agree","Agree","Disagree","Neither","Disagree","Disagree","Neither","Disagree","Agree","Neither","Disagree","Agree","Neither","Neither","Neither","Disagree","Neither","Neither","Neither","Neither","Agree","Strongly disagree"
"2076","Agree","Strongly agree","Neither","Agree","Agree","Agree","Neither","Agree","Strongly agree","Disagree","Agree","Disagree","Agree","Disagree","Neither","Agree","Agree","Agree","Strongly agree","Disagree","Neither","Strongly agree","Disagree"
"2077","Agree","Strongly agree","Neither","Neither","Agree","Agree","Neither","Agree","Agree","Agree","Agree","Neither","Agree","Agree","Disagree","Neither","Neither","Agree","Neither","Disagree","Neither","Neither","Neither"
"2078","Neither","Strongly agree","Agree","Strongly disagree","Strongly Disagree","Neither","Neither","Agree","Agree","Neither","Strongly agree","Disagree","Agree","Neither","Neither","Neither","Neither","Disagree","Neither","Strongly disagree","Strongly disagree","Strongly disagree","Disagree"
"2079","Disagree","Strongly agree","Strongly agree","Strongly disagree","Neither","Disagree","Strongly disagree","Strongly disagree","Disagree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Agree"
"2080","Neither","Strongly agree","Agree","Neither","Agree","Neither","Neither","Disagree","Strongly agree","Neither","Agree","Agree","Disagree","Neither","Strongly disagree","Disagree","Disagree","Neither","Strongly agree","Strongly disagree","Neither","Agree","Neither"
"2081","Neither","Disagree","Neither","Neither","Neither","Disagree","Disagree","Neither","Neither","Agree","Agree","Disagree","Neither","Neither","Neither","Neither","Agree","Neither","Agree","Neither","Neither","Strongly agree","Agree"
"2082","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither","Neither","Agree","Neither","Neither"
"2083","Neither","Strongly agree","Agree","Neither","Neither","Neither","Neither","Neither","Agree","Agree","Neither","Neither","Agree","Neither","Neither","Neither","Neither","Neither","Strongly agree","Neither","Neither","Agree","Agree"
"2084","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Neither","Disagree","Agree","Agree","Neither","Neither","Disagree","Disagree","Neither","Disagree","Neither","Strongly agree","Agree","Neither","Disagree","Disagree"
"2085","Neither","Agree","Neither","Agree","Disagree","Strongly disagree","Strongly disagree","Neither","Strongly agree","Disagree","Neither","Strongly disagree","Strongly disagree","Strongly disagree","Neither","Agree","Neither","Strongly disagree","Neither","Disagree","Disagree","Strongly agree","Strongly agree"
"2086","Agree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Strongly agree","Neither","Agree","Strongly disagree","Agree","Neither","Strongly disagree","Neither","Agree","Disagree","Agree","Neither","Neither","Strongly agree","Agree"
